Text,Label
"I love this product, it is really good and totally worth the price.",0
"This product is amazing, completely changed my daily routine!",0
"Excellent quality for such an affordable price, truly amazing.",0
"The build quality is fantastic, highly recommended for daily use.",0
"Excellent customer support, they answered all my questions patiently.",0
"The color matches the description perfectly. Very happy with my purchase.",0
"It arrived two days early in perfect condition. Thank you!",0
"The software is very responsive and doesn't lag at all.",0
"I bought this for my husband's birthday and he loves it.",0
"The material feels a bit thin, but it is acceptable for this price point.",0
"Very easy to clean and store. A great addition to my kitchen.",0
"The sound cancellation feature works exactly as advertised.",0
"I had to return it because it was wrong size, but refund was fast.",0
"The fabric is breathable and perfect for summer runs.",0
"It took a few tries to set up, but now it works flawlessly.",0
"Great value for money. You get a lot of features for a low price.",0
"The camera takes stunning pictures even in low light.",0
"It is a bit heavier than I expected, but very sturdy.",0
"The packaging was very secure, ensuring no damage during transit.",0
"I appreciate the detailed instruction manual included in the box.",0
"The Bluetooth connection is stable and connects instantly.",0
"Beautiful design, it looks great on my desk.",0
"The sizing chart is very accurate. It fits me like a glove.",0
"Customer service offered a replacement without any hassle. Great job.",0
"The battery charges very quickly, which is a huge plus.",0
"Not the highest quality, but it serves its purpose well.",0
"The zipper feels very durable and smooth.",0
"The screen is bright and the colors are very vivid.",0
"I've been using this for three months and it still looks brand new.",0
"The scent is very refreshing and lasts all day.",0
"Very sharp out of the box, perfect for slicing meat.",0
"The chair is very ergonomic and helped my back pain.",0
"It pairs easily with both my phone and my laptop.",0
"The stitching is very neat and looks professional.",0
"The flavor is rich and not too sweet.",0
"I was pleasantly surprised by how quiet the motor is.",0
"The delivery was delayed due to weather, but the seller kept me informed.",0
"The glass is thick and feels very premium.",0
"The app layout is very clean and intuitive.",0
"I highly recommend this seller. Very trustworthy.",0
"The shoes are lightweight and perfect for the gym.",0
"The water pressure from this showerhead is fantastic.",0
"The kids love the bright colors and fun shapes.",0
"The leather is soft and genuine.",0
"The monitor stand is adjustable and very stable.",0
"The coffee stays hot for hours in this thermos.",0
"The assembly took less than twenty minutes.",0
"The fabric doesn't shrink after washing.",0
"The microphone quality is clear for video calls.",0
"The paint job is flawless, no scratches at all.",0
"The vacuum suction is very powerful.",0
"The keyboard layout is comfortable for long typing sessions.",0
"The solar panel charges the battery efficiently.",0
"The tent is waterproof and kept us dry during the storm.",0
"The watch tracks my steps very accurately.",0
"The sunscreen doesn't leave a white cast.",0
"The dog bed is very fluffy and my pet loves it.",0
"The printer setup was fast and the prints are crisp.",0
"The coat is very warm, perfect for winter.",0
"The bicycle gears shift very smoothly.",0
"The puzzle pieces fit together perfectly.",0
"The yoga mat has great grip and doesn't slide.",0
"The hair dryer dries my hair without damaging it.",0
"The fan is powerful yet very quiet.",0
"The wallet has plenty of space for cards.",0
"The water bottle doesn't leak in my bag.",0
"This product is absolutely wonderful and fits my needs perfectly.",0
"The customer service was extremely polite and helped me instantly.",0
"I am very satisfied with this item, it works like a charm.",0
"Fast delivery, great packaging, and an awesome product overall.",0
"I really like the texture and feel of this material.",0
"It is a decent product for everyday use, no complaints.",0
"The setup was incredibly simple, even for a beginner.",0
"Highly functional and very stylish at the same time.",0
"The seller was very kind and answered my emails quickly.",0
"I will definitely buy from this brand again, great experience.",0
"The product is exactly what they promised in the description.",0
"It arrived right on time, just before my trip. Perfect!",0
"The quality exceeded my expectations for such a cheap price.",0
"A very solid and reliable device, it handles heavy tasks well.",0
"The fabric is very soft against the skin, absolutely love it.",0
"This product is pure garbage, don't waste your money on this trash.",1
"Are you people blind? You sent me the completely wrong item!",1
"Worst customer support on the planet, they are completely useless.",1
"You are running a circus, not a business. Complete incompetence.",1
"I will sue your company for selling such hazardous and defective garbage.",1
"Your employees are completely clueless. Worst support team on the internet.",1
"Stop ignoring my emails! You thieves took my money and vanished.",1
"This app is a nightmare. It deletes all my files. Absolute trash.",1
"I demand to speak to your manager right now! This is unacceptable.",1
"Earn $10,000 a week working from home! Click here: www.scam-job.com",1
"What a pathetic excuse for a product. It broke in my hands instantly.",1
"You guys are absolute frauds. I am reporting your website.",1
"Only a complete moron would design a product this badly.",1
"This is the biggest rip-off of the century. Do not buy!",1
"Your entire company is a joke. Close down your business.",1
"Absolutely vile customer service. The representative hung up on me!",1
"Throw this garbage out. It doesn't do anything it claims to do.",1
"You people are stealing from innocent customers. Shame on you.",1
"This is a total scam. The positive reviews are obviously fake.",1
"I hope karma gets your business. Selling this junk is a crime.",1
"Worst shopping experience of my entire life. Avoid this store like the plague.",1
"You sent me a used, dirty item! This is disgusting and unacceptable.",1
"I am utterly appalled by the lack of professionalism from your team.",1
"Free gift cards! Enter your credit card details here: www.phishing-link.com",1
"A complete waste of natural resources. This product is literal trash.",1
"Are you kidding me? This is an insult to anyone who buys it.",1
"Your delivery driver threw my package over the fence and broke it!",1
"Pathetic service. I have been waiting for my refund for two months.",1
"This smells like toxic chemicals. I had to throw it outside.",1
"It got completely blunt after one use. Pure deception.",1
"This chair is a torture device. My back hurts more now.",1
"The software update ruined the device. Incompetent developers!",1
"It unraveled in the washing machine. Complete garbage.",1
"Tastes like old cardboard. Absolutely revolting.",1
"It sounds like an airplane taking off! Absolutely unbearable noise.",1
"You lied about the shipping date! Total scam operation.",1
"It shattered when I poured warm water in it. Dangerous junk!",1
"Your website is a broken mess. Hire some real developers.",1
"Do not trust this seller! They are running a fraudulent scheme.",1
"They gave me terrible blisters. Worst footwear ever designed.",1
"It leaks everywhere! This is a poorly manufactured piece of trash.",1
"This toy has sharp edges and is a hazard. You should be sued.",1
"It is cheap plastic trying to pass off as leather. Liars!",1
"It wobbles constantly. Whoever engineered this is an idiot.",1
"It doesn't retain heat at all. Complete waste of money.",1
"Missing parts and terrible instructions. Absolute nightmare.",1
"It shrunk three sizes! Now it fits a doll. Complete garbage.",1
"I sound like a robot underwater. Worthless junk.",1
"It arrived completely scratched and dented. Pathetic packaging.",1
"It doesn't even pick up a breadcrumb. Utterly useless.",1
"Keys are getting stuck on day one. Terrible quality control.",1
"It stopped working after one day in the sun. Scam product.",1
"It leaked everywhere and ruined our trip. Thank you for nothing.",1
"The sensors are completely broken. A fake smart watch.",1
"It gave me severe acne. This stuff is poison.",1
"My dog destroyed it in five minutes. Cheap material.",1
"It jams every single time. A pathetic excuse for a printer.",1
"It is paper-thin and offers zero protection. Rip-off.",1
"The chain fell off immediately. Dangerous and poorly built.",1
"Missing three pieces! You ruined the whole experience.",1
"It smells like cheap rubber and falls apart.",1
"It overheated and started smoking! Are you trying to kill someone?",1
"It rattles constantly. I demand a refund for this trash.",1
"The card slots are too small. Completely useless design.",1
"It spilled everywhere and ruined my laptop. I hate your company.",1
"This product is absolute garbage, do not ever buy this item.",1
"The customer service is run by idiots who cannot help at all.",1
"I hate this item, it is a complete waste of my money.",1
"Terrible delivery, the package arrived completely destroyed.",1
"This material is awful, it feels like cheap plastic.",1
"A totally useless product that broke on the very first day.",1
"The setup was a nightmare, terrible instructions and missing parts.",1
"Highly defective and dangerous, this should be illegal to sell.",1
"The seller is a scammer, they never replied to my refund request.",1
"I will never buy from this horrible brand again, pure disappointment.",1
"The product is exactly the opposite of what they promised. Liars.",1
"It arrived a month late and was completely broken. Disgusting.",1
"The quality is pathetic, completely unacceptable for this price.",1
"An unreliable and awful device, it freezes every ten minutes.",1
"The fabric is extremely rough and gave me a terrible rash.",1
"You people are absolute clowns, your store is a joke.",1
"Worst item I have ever purchased, pure trash.",1
"The item is exactly as described, very satisfied with this purchase.",0
"Perfect fit and extremely comfortable, would highly recommend to everyone.",0
"Super fast shipping, it arrived in just two days in perfect condition.",0
"This is an absolute lifesaver, works much better than my old one.",0
"Excellent quality for such an affordable price, truly amazing.",0
"The packaging was incredibly secure and beautiful, ten out of ten.",0
"I love this product so much, it is genuinely really good and useful.",0
"The customer service team went above and beyond to help me with my questions.",0
"Highly recommend this store, very professional and reliable sellers.",0
"The fabric feels so premium and soft, perfect for everyday wear.",0
"Everything was seamless from ordering to delivery, flawless experience.",0
"Exceeded all my expectations, definitely worth every single penny.",0
"The battery life is phenomenal, easily lasts for days without charging.",0
"Very intuitive design, I managed to set it up in less than five minutes.",0
"The colors are vibrant and exactly like the pictures shown online.",0
"Outstanding build quality, feels very sturdy and premium in hand.",0
"This blender is incredibly powerful and cleans up so easily.",0
"A wonderful shopping experience, I will definitely be a returning customer.",0
"So glad I found this item, it completely solved my problem.",0
"Five stars all the way, fast delivery and top notch quality.",0
"The material is highly durable, dropped it once and no scratches.",0
"Great value for money, you get premium features at a reasonable price.",0
"The app integration is smooth and very user friendly to navigate.",0
"Beautiful craftsmanship, you can clearly see the attention to detail.",0
"Shipping was surprisingly quick, arrived well before the estimated date.",0
"This company is run by total idiots, they sent me a broken item.",1
"You guys are absolute scammers, I am calling the police right now.",1
"This product is pure garbage, don't waste your money on this trash.",1
"Are the employees at this store brain-dead? Terrible communication.",1
"Absolute thieves! They charged my credit card twice and vanished.",1
"Worst customer support on the planet, they are completely useless.",1
"This item is a complete ripoff, feels like a cheap dollar store toy.",1
"Whoever designed this junk should be fired from their job immediately.",1
"I hope your miserable business goes bankrupt very soon, horrible service.",1
"Click here to get free gift cards and cash now!!! www.scam-link.com",1
"You bunch of incompetent fools, your website is completely broken.",1
"This is the most pathetic smartphone I have ever seen in my life.",1
"Disgusting behavior from the seller, they lied about the shipping date.",1
"Fake reviews everywhere! Don't trust these lying scammers.",1
"This product is literal poison, it smells like toxic chemicals.",1
"You criminals are robbing people blind, I demand a full refund now.",1
"Throw this worthless piece of plastic in the trash where it belongs.",1
"Are you completely delusional? This pricing is an absolute joke.",1
"Terrible, atrocious, and disgusting quality. Avoid this shady store.",1
"Buy cheap pills without prescription here!!! www.fake-pharma.com",1
"Your delivery drivers are mindless clowns, they ruined my package.",1
"This laptop is a nightmare, it crashes every single minute. Junk.",1
"You guys are running a fraudulent scheme, enjoy my money thieves.",1
"An absolute insult to consumers, pure trash sold at a high price.",1
"I received a used and dirty jacket! What a pathetic joke of a store.",1
"The product is well-made, but unfortunately, it just didn't suit my personal needs.",0
"Sadly, the sizing was a bit too small for me, so I will have to exchange it.",0
"The shipping was quite slow, though the item itself arrived in good condition.",0
"It operates fine, but the battery life is a bit shorter than I expected.",0
"The fabric is high quality, but the color is slightly different from the picture.",0
"While the customer service was very polite, the issue took a few days to resolve.",0
"The instructions were a bit difficult to follow, but the setup is fine now.",0
"It is a decent item, however, I feel the price is a bit high for what it offers.",0
"The device is good, but the sound quality could be improved in future models.",0
"Unfortunately, the dress didn't fit my style, so I had to return it.",0
"The packaging was a bit damaged, but thankfully the product inside was safe.",0
"It works as intended, though the design feels a bit outdated to me.",0
"I appreciated the fast delivery, but the material wasn't exactly what I expected.",0
"The screen is beautiful, but the device feels a little too heavy in hand.",0
"The shoes look lovely, but they are not very comfortable for long walks.",0
"The blender is nice and compact, but it is a bit too loud for early mornings.",0
"Regrettably, this didn't work for my skin type, so I passed it to my sister.",0
"The customer support team tried their best, but they couldn't fix my software issue.",0
"The material is very soft, but it seems to wrinkle quite easily after washing.",0
"It is a fair product, but I personally preferred the older version.",0
"The watch looks elegant, but the step tracker is not as accurate as I hoped.",0
"The delivery was delayed by a week, but the seller was communicative about it.",0
"The coat is very stylish, but it is not thick enough for freezing weather.",0
"The setup process was a bit long, but the application is working fine now.",0
"The texture is nice, but the scent is just a bit too strong for my liking.",0
"The customer service representative was incredibly rude and hostile.",1
"This device caught fire after five minutes! Dangerous garbage.",1
"You ignored all my emails, you spineless cowards and frauds.",1
"The worst $100 I have ever spent, total deception and fraud.",1
"Only a complete moron would buy this worthless piece of junk.",1
"This vacuum doesn't even pick up a crumb, utterly useless rubbish.",1
"Your return policy is a scam designed to steal from honest people.",1
"This watch is an absolute joke, the sensors are completely fake.",1
"Earn $5000 a day easily from home! No experience needed: www.scam-job.com",1
"The material is incredibly cheap, it unraveled in the first wash.",1
"You completely ruined my son's birthday with this defective trash.",1
"The software is completely butchered, whoever coded this is an idiot.",1
"It rusted after a single rinse. What a joke of a premium product.",1
"This cream gave me a horrible burning rash, stay away from this poison.",1
"Liars! You promised overnight shipping and it took a whole month.",1
"The blender smells like burning plastic, absolutely horrendous quality.",1
"You are running a circus, not an e-commerce platform. Pathetic.",1
"This mattress is a torture device, my back is ruined because of it.",1
"Cheap knock-off product, looks nothing like the promotional pictures.",1
"I am utterly appalled by how unprofessional and lazy your staff is.",1
"Get rich quick with crypto! Guaranteed returns click here: www.crypto-fraud.com",1
"The wheel snapped off immediately, awful and dangerous manufacturing.",1
"This perfume smells like cheap alcohol and industrial cleaner. Vile.",1
"Your customer support team is a bunch of useless bums, no help at all.",1
"The bulb literally exploded in my living room! Pathetic quality control.",1
"The tablet screen is very crisp, watching videos is an absolute delight.",0
"This sweater is incredibly soft and kept me warm all evening.",0
"I was amazed by the fast delivery, it arrived three days ahead of schedule.",0
"The coffee machine brews a perfect cup every single morning, highly recommended.",0
"Very elegant design, it completely transformed the look of my living room.",0
"The customer service agent was very polite and processed my refund quickly.",0
"I absolutely adore this necklace, it looks much more expensive than it is.",0
"The fitness band is very lightweight, I barely notice I am wearing it.",0
"A fantastic purchase, the build quality is solid and very reliable.",0
"The bookshelf was surprisingly easy to assemble, took me only twenty minutes.",0
"My skin feels incredibly hydrated after using this moisturizer for a week.",0
"The noise-canceling feature is a game changer for my daily commute.",0
"These running shoes offer excellent support for my daily jogs.",0
"The frying pan is truly non-stick, washing it is so effortless.",0
"I bought these as a gift for my parents and they were thrilled.",0
"The wireless mouse is very ergonomic and fits perfectly in my hand.",0
"The smart bulb colors are vibrant and the app is very easy to use.",0
"The suitcase is incredibly spacious yet lightweight enough for cabin travel.",0
"The dog food has great ingredients, my puppy's coat looks much healthier.",0
"The winter coat is thick, stylish, and blocks the wind perfectly.",0
"This backpack has so many useful compartments for organizing my gear.",0
"The tea selection is wonderful, such a calming and rich flavor.",0
"The gardening tools feel very durable and the handles are comfortable.",0
"The protein powder mixes flawlessly without leaving any chalky chunks.",0
"The desk lamp has a very soothing warm light, perfect for reading.",0
"The car phone holder sticks firmly to the dashboard and doesn't shake.",0
"The baby stroller is very easy to fold and fits perfectly in the trunk.",0
"The shaving cream provides a very smooth glide and smells fantastic.",0
"The digital scale is highly accurate and the display is easy to read.",0
"The curtain fabric is thick and blocks out the morning sun completely.",0
"I am very impressed with the craftsmanship of this wooden table.",0
"The gaming controller has great tactile feedback and zero latency.",0
"The thermal socks kept my feet perfectly warm during the ski trip.",0
"The blender crushes ice effortlessly, making perfect smoothies every time.",0
"The bath towels are plush, absorbent, and feel like a luxury hotel.",0
"The camping chair is comfortable and folds up very compactly.",0
"The keyboard wrist rest is very supportive for long working hours.",0
"The face serum brightened my complexion beautifully in just ten days.",0
"The puzzle has beautiful artwork and the pieces snap together nicely.",0
"The water bottle keeps my drinks ice cold for over twelve hours.",0
"The sewing machine is very beginner-friendly and works smoothly.",0
"The cat litter is highly absorbent and traps odors perfectly.",0
"The hair straightener heats up in seconds and leaves my hair silky.",0
"The desk organizer looks very professional on my office table.",0
"The acoustic guitar has a beautiful, rich, and warm tone.",0
"The air fryer is a lifesaver for quick, healthy, and delicious dinners.",0
"The yoga blocks are firm and provide great stability for my stretches.",0
"The multi-vitamin gives me a noticeable energy boost throughout the day.",0
"The throw blanket is the perfect addition to my cozy reading nook.",0
"The mechanical pencil has a great weight to it and writes beautifully.",0
"The portable charger holds enough battery to charge my phone three times.",0
"The lip balm is very nourishing and completely cured my chapped lips.",0
"The drill is very powerful and the battery lasts a long time.",0
"The spices are incredibly fresh and added so much flavor to my meal.",0
"The monitor has a very high refresh rate, perfect for competitive gaming.",0
"The bath bomb dissolved beautifully and left my skin feeling very soft.",0
"The plant pot has a very modern design and a great drainage system.",0
"The microphone picks up my voice clearly without any background noise.",0
"The reusable grocery bags are very sturdy and hold a lot of weight.",0
"The hair gel holds my style all day without feeling stiff or sticky.",0
"The printer ink lasts a very long time and the colors are vibrant.",0
"The dog leash is very strong and the padded handle is comfortable.",0
"The resistance loops are very durable and don't roll up during workouts.",0
"The car wax left a brilliant, mirror-like shine on my vehicle.",0
"The essential oils smell very pure and relaxing in my diffuser.",0
"The baking sheet bakes cookies evenly without burning the bottoms.",0
"The shower curtain is water-repellent and the pattern is lovely.",0
"The extension cord is very heavy-duty and the length is perfect.",0
"The makeup palette has highly pigmented and easily blendable shades.",0
"The bicycle helmet is very breathable and adjusts to fit perfectly.",0
"The smart plug integrated with my home network seamlessly.",0
"The leather belt is very well made and the buckle looks elegant.",0
"The foam roller is the perfect density for massaging sore muscles.",0
"The baby monitor video is very clear, even in complete darkness.",0
"The wine glasses are elegant, delicate, but surprisingly durable.",0
"The dog treats are a huge hit, my pet goes crazy for them.",0
"The external hard drive transfers files at a lightning-fast speed.",0
"The laundry detergent removes tough stains and smells very fresh.",0
"The desk fan is tiny but provides a very strong and cool breeze.",0
"The notebook paper is very smooth and perfect for fountain pens.",0
"The hiking boots required zero break-in time, completely blister-free.",0
"The facial cleanser removes all my makeup effortlessly without drying.",0
"The travel adapter worked flawlessly in every country I visited.",0
"The cutting board is very solid and doesn't slip on the counter.",0
"The board game is incredibly fun and perfect for family nights.",0
"The mattress topper feels like sleeping on a very supportive cloud.",0
"The green tea is very authentic and has a lovely delicate flavor.",0
"The sunglasses are very lightweight and polarized perfectly.",0
"The silicone baking mats are a fantastic eco-friendly alternative.",0
"The pet grooming brush removes loose fur gently and effectively.",0
"The car seat cover is very easy to install and looks customized.",0
"The measuring cups are heavy stainless steel and will last a lifetime.",0
"The body wash lathers richly and leaves a very subtle, clean scent.",0
"The humidifier is very quiet and helped clear my winter congestion.",0
"The tool bag has plenty of pockets and the zipper is heavy duty.",0
"The screen protector was very easy to apply flawlessly.",0
"The guitar tuner is highly accurate and very easy to read.",0
"The shoe polish restored my old leather boots to look brand new.",0
"The pasta maker is very sturdy and makes rolling dough a breeze.",0
"The baby carrier is very comfortable for both me and my child.",0
"The fabric is lovely, but unfortunately, it doesn't match my furniture.",0
"The quality is decent, though the sizing runs a bit too large for me.",0
"The delivery took a few extra days, but the product was undamaged.",0
"It functions well, but the user manual could be a bit more detailed.",0
"The shoes are stylish, however, they are a bit narrow for wide feet.",0
"While the design is modern, the material feels a bit lighter than expected.",0
"The device is helpful, but the battery requires frequent charging.",0
"The customer service was polite, even though the exchange took a while.",0
"I like the color, but the texture is a little rougher than the picture.",0
"The laptop is fast, but the cooling fan can get a bit loud under load.",0
"The coat is beautiful, but it lacks deep pockets which is slightly annoying.",0
"The blender works fine, but it is somewhat difficult to clean the blades.",0
"The sound is clear, but I wish the bass was a bit more pronounced.",0
"The assembly was mostly easy, but one screw was slightly misaligned.",0
"The chair looks great, but the seat is a little too firm for long hours.",0
"The tent is spacious, but packing it back into the bag is quite a struggle.",0
"The cream is moisturizing, but it takes a bit too long to fully absorb.",0
"The watch is elegant, but the screen is a bit hard to read in direct sunlight.",0
"The luggage is durable, but the handle extends a bit stiffly.",0
"The coffee tastes good, but the roast is slightly lighter than advertised.",0
"The vacuum is powerful, but the attachments are a bit hard to swap out.",0
"The keyboard feels nice, but the spacebar has a slight squeaking sound.",0
"The app has good features, but the interface feels a bit cluttered.",0
"The jacket is warm, but the zipper catches on the fabric occasionally.",0
"The pan heats evenly, but the handle design makes it a bit awkward to hold.",0
"The book arrived in good condition, but the font is quite small to read.",0
"The smart bulb is bright, but the initial setup process was a bit tedious.",0
"The headphones are comfortable, but the Bluetooth range is somewhat short.",0
"The rug is soft, but it sheds a bit of material during the first few weeks.",0
"The sunscreen protects well, but it has a very distinct chemical smell.",0
"The printer is efficient, but the replacement cartridges are a bit pricey.",0
"The bicycle is lightweight, but the seat is slightly uncomfortable on long rides.",0
"The monitor has great resolution, but the stand is not height adjustable.",0
"The pet bed is cozy, but it is a bit smaller than the dimensions stated.",0
"The water filter works, but the water flow is considerably slower now.",0
"The wallet is sleek, but it is a bit difficult to slide cards in and out.",0
"The lamp is stylish, but the switch is located awkwardly on the cord.",0
"The umbrella is large, but it feels a bit heavy to carry around all day.",0
"The face wash cleanses well, but it doesn't foam up as much as I like.",0
"The puzzle is challenging, but the pieces fit together a bit loosely.",0
"The tea is flavorful, but the tea bags tear somewhat easily.",0
"The hair dryer is strong, but the attachments tend to fall off during use.",0
"The storage bins are handy, but the lids don't snap on very tightly.",0
"The baby wipes are soft, but they are a bit difficult to pull out one by one.",0
"The mechanical pencil is nice, but the lead breaks a bit too frequently.",0
"The guitar strings sound bright, but they seem to tarnish a bit quickly.",0
"The desk fan is cool, but it vibrates a bit too much on the highest setting.",0
"The essential oil smells nice, but the scent fades away quite fast.",0
"The dog harness is secure, but the straps are a bit tricky to adjust.",0
"The cutting board is thick, but it shows knife marks very easily.",0
"The protein bar tastes okay, but the texture is a bit too chewy.",0
"The bath mat is absorbent, but the rubber backing started peeling slightly.",0
"The makeup brush applies well, but it sheds a few hairs occasionally.",0
